	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
Wpz7X7s14SZTu7SVO0	YWHAH	1.34493058669228e-08	-5.18	2534.47	489.23	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta
TiBCjVCIJR.t8PnqiU	PIR	7.13876375378651e-08	-7.08	709.45	100.19	pirin (iron-binding nuclear protein)
i6dUKK7JK7iQzy5TuU	PRDX6	1.15309416029639e-07	-4.52	1457.13	322.68	peroxiredoxin 6
rSTjV0ngdAJbQIX5dU	CCNB2	1.70084020693762e-07	-4.71	705.38	149.63	cyclin B2
HClLklAJJdNRQpNZ4I	CDC20	5.72113916251192e-07	-4.93	2119.17	430.14	cell division cycle 20
ovX.nlT_os7pD1y534	SERBP1	8.67296446945736e-07	-3.17	297.87	94.02	SERPINE1 mRNA binding protein 1
oSUU3UiV6kk.1JCMxg	NA	1.05623346180782e-06	2.79	1056.73	2950.53	NA
EWhqR6mHuXZ4oAMHAQ	NA	1.05623346180782e-06	-3.68	1765.34	480.18	NA
in7S1rfIjFd.XguKbk	CMTM7	1.47261416419994e-06	-2.83	598.42	211.74	CKLF-like MARVEL transmembrane domain containing 7
KWfoRgQJRH3B596YHg	SYNCRIP	2.20496133874132e-06	-2.72	782.47	287.81	synaptotagmin binding, cytoplasmic RNA interacting protein
xp6k.U0zIXeV9Isl0U	CENPA	2.20496133874132e-06	-4.58	359.34	78.52	centromere protein A
ZKnvriJIfiuOMvpd60	ARL6IP1	2.32629682139921e-06	-3.29	2180.42	663.27	ADP-ribosylation factor-like 6 interacting protein 1
EtF3iuXnpNd1VOfHDE	TAGLN2	3.30068849938777e-06	-2.86	617.04	215.66	transgelin 2
irp0SIKOkjrklBDnhY	GINS2	4.00758464625827e-06	-2.89	532.32	184.17	GINS complex subunit 2 (Psf2 homolog)
0d83FzheYnlRRVS__Y	GTSE1	4.83594517475957e-06	-3.11	274.3	88.22	G-2 and S-phase expressed 1
N4TSXn31Xeaf0eeL94	TK1	4.83594517475957e-06	-3.35	599.9	178.86	thymidine kinase 1, soluble
WSemIeyVXVHVEdHfkg	CENPM	5.09777080775831e-06	-3.7	635.8	171.75	centromere protein M
ooKJT36B6GH3gB6KGI	CDCA3	5.42061322928366e-06	-3.52	569.98	161.91	cell division cycle associated 3
ooufegc0lR_FFS.ugk	DUT	7.1142685204834e-06	-2.65	186.99	70.62	deoxyuridine triphosphatase
H5KWLx3fVAo7kHpWig	CENPA	7.79344491212885e-06	-2.84	189.99	66.85	centromere protein A
Wfd1U2dRBeAWIKL54U	TMEM109	7.79344491212885e-06	-3.14	518.1	165.13	transmembrane protein 109
Wg57u3taRVrKXj6v3I	AURKA	8.15683022647733e-06	-3.43	1502.29	438.15	aurora kinase A
o6fgd8qt5LnU3U_ulU	NA	8.15683022647733e-06	-2.55	345.15	135.21	NA
ccp.nyzTtTv19F0uic	NUSAP1	9.54388494841032e-06	-3.62	568.53	157.23	nucleolar and spindle associated protein 1
rXg2T3ceh3pefoiukk	PSRC1	9.54388494841032e-06	-3.77	343.22	90.98	proline/serine-rich coiled-coil 1
N1UXrXVX1TnlB9wWQw	CFL1	1.34185614561578e-05	-2.59	3143.94	1213.12	cofilin 1 (non-muscle)
rUvfXhFo6ufqBb_JfM	UHRF1	1.52651275244788e-05	-3.16	1108.25	350.48	ubiquitin-like with PHD and ring finger domains 1
6aaey6nd9dfUW4VQXc	NA	1.56909872520363e-05	-3.22	1430.21	444.48	NA
Hu16j3eVXeLIu_6jAo	RRM2	1.74734957675202e-05	-3.37	352.15	104.5	ribonucleotide reductase M2
iTtHHqiu9edyfUY4pk	PRC1	1.74734957675202e-05	-2.46	1412.89	574.09	protein regulator of cytokinesis 1
xQuQTe05LxzsKlI94U	C4orf46	1.74734957675202e-05	-2.42	160.97	66.55	chromosome 4 open reading frame 46
xnlXiCIfDUJePscuk0	PPP1CB	1.81540062028008e-05	-3.11	606.09	195.12	protein phosphatase 1, catalytic subunit, beta isozyme
x.Sd_F7Vd6eXeLeDdU	TOP2A	2.0242178287109e-05	-4.33	1879.62	433.76	topoisomerase (DNA) II alpha
rplyA9R_RbKk54xTVA	TGFBR2	2.0242178287109e-05	2.7	318.24	860.75	transforming growth factor, beta receptor II (70/80kDa)
ogNB0uoTJST.5MUr6k	DUT	2.0242178287109e-05	-2.38	225.61	94.71	deoxyuridine triphosphatase
0nunX1weqf34Tsr5_s	CCNE2	2.21190836776777e-05	-3.1	278.15	89.67	cyclin E2
NgUe6X3SXEku63fE6U	FADS1	2.23682589038771e-05	-2.97	326.7	110.09	fatty acid desaturase 1
ZlT4XcuuL9yDHrU9OI	TGFBR2	2.4508678588483e-05	2.67	376.1	1003.56	transforming growth factor, beta receptor II (70/80kDa)
NjXGdGm9V.HQN6l.6Q	KIF20A	2.4508678588483e-05	-3.16	672.38	212.74	kinesin family member 20A
uFAn28g7eXx6.VSoKA	PARP1	2.50241340532257e-05	-2.71	1155.08	425.79	poly (ADP-ribose) polymerase 1
xnlUuzt_X3WbT76CKI	STARD7	2.50241340532257e-05	-2.64	1298.1	492.3	StAR-related lipid transfer (START) domain containing 7
Z95JJ6aHY50CKHmXWI	CENPM	2.50658968980311e-05	-2.5	194.19	77.61	centromere protein M
0576touUtHn_gt7veo	ZMAT3	2.60979454313584e-05	3.27	171.22	560.12	zinc finger, matrin-type 3
393kqysIytLQvrDl7U	LARP1B	2.60979454313584e-05	-2.36	159.12	67.3	La ribonucleoprotein domain family, member 1B
QkXgJ9dhN7wwJbKV_0	BIRC5	2.60979454313584e-05	-2.51	574.73	228.78	baculoviral IAP repeat containing 5
W3er4CCPKoAitF9SS4	PSRC1	2.60979454313584e-05	-2.65	158.97	60.1	proline/serine-rich coiled-coil 1
lokghwIgYonhSjeYYU	TACC3	3.25792270419787e-05	-2.88	473	164.12	transforming, acidic coiled-coil containing protein 3
u7tdb09Tp6i0eOeXeU	TAGLN2	3.72652521403055e-05	-2.92	2458.71	843.09	transgelin 2
WR70jCtEN457S.hYno	STARD7	3.72652521403055e-05	-2.84	476.2	167.63	StAR-related lipid transfer (START) domain containing 7
6Qsu3tJXfB3uRlc.S0	PPIL1	4.14233760005871e-05	-2.54	279.61	109.87	peptidylprolyl isomerase (cyclophilin)-like 1
ouCelRFzQJVedx7heg	CENPM	4.14233760005871e-05	-2.34	312.88	133.46	centromere protein M
WlF1W79QtJ.XkIIDXo	FOXM1	4.35614409872741e-05	-2.48	326.97	131.63	forkhead box M1
3LJ1F4IqOgXerSgEno	SMCO4	4.35614409872741e-05	-2.41	170.67	70.93	single-pass membrane protein with coiled-coil domains 4
3ZI6Kh14TJSee4DDoI	CDKN3	4.49354220523275e-05	-2.88	605.85	210.16	cyclin-dependent kinase inhibitor 3
HWXXhblfYgk9R.snpQ	PGLS	5.13791278512929e-05	2.17	280.86	609.78	6-phosphogluconolactonase
cNV8JUhN76heFVrT68	TRMT5	5.13791278512929e-05	-2.26	2531.37	1117.76	tRNA methyltransferase 5
o7h_frpdPU7uXuXqk4	CDCA8	5.47209194523737e-05	-2.74	457.51	166.95	cell division cycle associated 8
6W70h16.fUp8S6E00k	FAM83D	5.47590672700207e-05	-3.49	467.66	134.11	family with sequence similarity 83, member D
rkS_KJSIffA018gW4U	CNIH4	5.56355768534223e-05	-2.76	1437.89	521.9	cornichon family AMPA receptor auxiliary protein 4
r_7v.Xrn0Im7kqQuW0	CBX2	6.07553785288848e-05	-2.65	330.99	124.74	chromobox homolog 2
rkrc6lHkojiFJfe70U	CMTM3	6.37788566098258e-05	2.61	161.19	421.38	CKLF-like MARVEL transmembrane domain containing 3
ECgp1eTtefnkZROrus	MCM4	6.91265477530257e-05	-2.54	663.28	261.61	minichromosome maintenance complex component 4
l1KHvzJ76Chyt9XJVU	NA	7.08976960093111e-05	-2.39	185.8	77.68	NA
lekrQ59WhGjR.7ePUk	MCM7	7.49646942323326e-05	-2.74	2041.54	745.08	minichromosome maintenance complex component 7
xNS4iDi.l33566LJI4	DLGAP5	7.49982697319329e-05	-2.81	322	114.49	discs, large (Drosophila) homolog-associated protein 5
Nnp0VyCVB1B3lH9xCQ	PRR11	7.49982697319329e-05	-2.42	184.34	76.04	proline rich 11
9jUT7yueFyEiOB4rX4	COL1A2	7.69610491002478e-05	2.93	2370.26	6940.78	collagen, type I, alpha 2
NRBiFzZZNtCuhcC9Vk	AURKB	7.69610491002478e-05	-2.95	651.36	220.83	aurora kinase B
03BC50iK6CFO3nAiAo	HMGB1P1	7.90297145216449e-05	-2.6	595.96	229.64	high mobility group box 1 pseudogene 1
Bbb.19MbzcvOSR6ASE	DSEL	7.93542172486029e-05	2.38	114.86	273.89	dermatan sulfate epimerase-like
cqv7gx1ZcDV9x9HXSo	CMTM7	7.93542172486029e-05	-2.64	290.05	109.71	CKLF-like MARVEL transmembrane domain containing 7
onRO.ER0uVw.VeKg2c	CBFB	8.13514008368919e-05	-2.48	504.64	203.47	core-binding factor, beta subunit
Bfl.4nfnEtl.nHn8Ig	ADCY3	8.17084103849926e-05	-2.67	439.22	164.2	adenylate cyclase 3
QLR0VHu.euUKd_KlUc	FAM64A	8.17084103849926e-05	-2.71	281.07	103.77	family with sequence similarity 64, member A
orkLgrlL5z_M0R3EAk	UBE4A	8.64330860999514e-05	-2.38	197.67	83.14	ubiquitination factor E4A
TrhKB9ZF14pXo49w_8	REPIN1	8.64330860999514e-05	-2.24	465.79	208.01	replication initiator 1
u2q4gVCb6B7IVte2Hs	CCNF	8.66568767178438e-05	-2.96	543.41	183.42	cyclin F
ihHkgFeJICKX3o6UBU	CDC25C	8.74163196483361e-05	-2.3	145.58	63.42	cell division cycle 25C
314xQjiCOncNJ4hJFI	C4orf46	9.12150163929701e-05	-2.4	180.26	75.14	chromosome 4 open reading frame 46
6e.BIM4nt7T8XH39Uc	NEK2	9.73901031562953e-05	-2.56	408.93	159.46	NIMA-related kinase 2
BI90n1UokIXeJWUJmk	MCM7	9.76136023446856e-05	-2.57	199.2	77.57	minichromosome maintenance complex component 7
cKrl3iFT3bv1e_xf_U	DCTPP1	9.82092137921702e-05	-2.36	565.89	239.75	dCTP pyrophosphatase 1
BX8NUpN76heFXLT68U	NA	9.82092137921702e-05	-2.23	1917.95	861.57	NA
TRPIdFYoP8ASXM5UqU	DEPDC1	0.000101233204328346	-2.99	306.74	102.75	DEP domain containing 1
cSokt9TTng.7fUonlU	RAF1	0.000101233204328346	-2.35	328.31	139.59	Raf-1 proto-oncogene, serine/threonine kinase
xl68XtOg55Lrr_UJ94	RAB22A	0.000104281284921162	-2.2	283.04	128.58	RAB22A, member RAS oncogene family
HHIB6kTrIp0TqL7XRU	ERLEC1	0.000106721015784497	-2.11	490.42	232.05	endoplasmic reticulum lectin 1
TXCeLuFUglGO53s1IE	CKS1B	0.000106721015784497	-2.54	1132.57	446.42	CDC28 protein kinase regulatory subunit 1B
fgbdYtXQd3Gf5dQrgU	KIFC1	0.000110871486711103	-2.83	398.9	140.73	kinesin family member C1
0lKn23BEASUtrHyUXg	GPSM2	0.000112287631223377	-2.38	308.83	129.95	G-protein signaling modulator 2
0nu9VB3veZGASze.ik	CEP55	0.000117066965155327	-2.84	702.49	247.73	centrosomal protein 55kDa
3aZ9UkUE7BaTv1JIIQ	CCND1	0.000119783602351802	2.47	1684.28	4152.5	cyclin D1
ZNMEuHjvr7Dr6vyjgU	ARMCX1	0.000133365185671636	2.13	145.29	309.54	armadillo repeat containing, X-linked 1
EKV73su.fNdESLIAl4	ANKRD28	0.000133365185671636	-2.23	357.63	160.3	ankyrin repeat domain 28
6UKFA16L3VB.Io6Aqk	SKA3	0.000133620216246065	-2.1	156.55	74.45	spindle and kinetochore associated complex subunit 3
rlBFB2yfy6SOoutEh0	NEMP1	0.000136584115042729	-2.28	218	95.82	nuclear envelope integral membrane protein 1
9jhKTJepM0XT6wKnIk	MCM4	0.000138427284754174	-2.11	355.65	168.51	minichromosome maintenance complex component 4
lq43TTpfputXVO6.wU	LBR	0.000143920074811383	-2.92	189.09	64.79	lamin B receptor
ojLV_BETnlid6ABVEk	UBE2C	0.000147964059255904	-3.37	2605.04	772.99	ubiquitin-conjugating enzyme E2C
6lnt5uCKErd4FLNeT4	CDC25C	0.000154900756561958	-2.05	127.54	62.27	cell division cycle 25C
fLhCJ6ryjWvod4TaOU	SKP2	0.000155437425919923	-2.19	473.54	216.16	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
KnJkIUtHV3l9Kfe0P0	RPA1	0.000155437425919923	-2.61	372.67	142.87	replication protein A1, 70kDa
3oz7S38qvqejlisAvc	TYMS	0.000159220491373242	-2.55	2146.32	840.07	thymidylate synthetase
3urw.iidIgjrol0sUo	PIR	0.000167582502085802	-3.05	360.3	117.99	pirin (iron-binding nuclear protein)
iKKgVb_bmVB1QukAKA	KIAA0101	0.00016821000862873	-2.63	890.16	338.95	KIAA0101
HlBzpe6NA1JeeXn.zo	TFAM	0.000168952451614195	-2.31	384.19	166	transcription factor A, mitochondrial
Bnkekn._3X_rPRBJSo	TXLNA	0.000175894222328455	-1.97	940.86	476.86	taxilin alpha
ZqR1Qw4LulILoN.Eoc	CDK1	0.000178297082279855	-3.03	636.45	209.79	cyclin-dependent kinase 1
BSXeHuXs3VA91HY9R4	TPX2	0.000184428958873719	-2.39	616.85	257.86	TPX2, microtubule-associated
TqJepJRTdSJXqST.U8	NA	0.000190627307196518	2.15	842.76	1814.78	NA
QL7MM5_wKeKuJ7N6OU	MCM10	0.000190627307196518	-2.51	307.76	122.56	minichromosome maintenance 10 replication initiation factor
9ELgpTQIPq4UbhQTkY	FTH1P3	0.000190627307196518	2.74	541.59	1483.12	ferritin, heavy polypeptide 1 pseudogene 3
xX7dOhfRSFxdAkUSTk	CCNA2	0.000212466337859173	-2.53	645.27	255.22	cyclin A2
NLdHHg5Rffj0UrcB5I	DLGAP5	0.000240336981450437	-2.77	336.55	121.39	discs, large (Drosophila) homolog-associated protein 5
Zsj56XvsrrKhEjhYXo	ADGRG1	0.000240956558156381	2.11	378.72	799.41	adhesion G protein-coupled receptor G1
uFCNkUeT1JcJDImIdU	SMIM14	0.00024119252696061	1.96	276	541.54	small integral membrane protein 14
6V04FQT4y1fgRE55Yk	UBE2C	0.00024119252696061	-2.96	1980.77	670.24	ubiquitin-conjugating enzyme E2C
cs7QHlLCUlXRXeMjPU	TGOLN2	0.000244867893354487	-2.28	691.08	302.66	trans-golgi network protein 2
3ieeV36bi_bPSnn.nk	MCM2	0.000248539650129204	-2.23	337.48	151.25	minichromosome maintenance complex component 2
Zeqv30z1576CS_FIDk	RPIA	0.000252736107253745	-2.33	201.79	86.56	ribose 5-phosphate isomerase A
BU6gOUeyttjF3p4KPk	TMPO	0.000253726507124278	-2.26	168.2	74.43	thymopoietin
H90UCLOXqJdSe8AhDk	SLC35F2	0.000265635259689519	-2.09	333.1	159.05	solute carrier family 35, member F2
EiJOOub_JtLCYiAoaY	NGDN	0.000270829541062677	-2.85	377.51	132.48	neuroguidin, EIF4E binding protein
fcPSK3Tl5X5UjlSrbk	AGPAT1	0.000276152595988363	-2.15	229.53	106.74	1-acylglycerol-3-phosphate O-acyltransferase 1
rhAoEPAenj.pflIn.o	CDK1	0.000299221569447246	-2.2	166.86	75.73	cyclin-dependent kinase 1
0tLSQHUQKdfgvboKew	RFC3	0.000302565694565166	-2.17	188.5	86.7	replication factor C (activator 1) 3, 38kDa
3iBHES54LUnrERarhE	NFATC2IP	0.000304690770773212	-2.14	758.16	354.1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein
0_WFiq6EEf_SOJ66J0	C1QBP	0.000306436866618025	-2.24	2437.61	1088.84	complement component 1, q subcomponent binding protein
lo7qXyXUrUhxx3O91I	KIF4A	0.000306436866618025	-2.28	193.03	84.5	kinesin family member 4A
Kk7UdUhjpQiSARCeiU	TCEB2	0.000310137314201099	-2	277.43	138.97	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)
9TYNFpOVRTtIZJ7ISg	NA	0.000310143087586419	-2.13	1312	616.68	NA
9K5eeNRXBVi3kdBiik	NA	0.00031996804188148	-2.34	760.91	325.14	NA
rr5wo6ngnqt6F9DQJc	PTTG1	0.000320852647507714	-2.23	1234.27	553.56	pituitary tumor-transforming 1
3J6t5defxt6FfunUfs	SERINC3	0.000320852647507714	-2.11	662.22	313.58	serine incorporator 3
BiXUgqHpd5URfh9LP0	CDT1	0.000321068284719026	-2.04	226.73	111.06	chromatin licensing and DNA replication factor 1
EnrersnfIoKIyoAqnU	RAD54L	0.000326199037365457	-2.09	170.44	81.37	RAD54-like (S. cerevisiae)
Q1fhLL_X03Rf0.tUD0	SKP1	0.000335205515521967	-2.37	303.12	127.73	S-phase kinase-associated protein 1
lcqie_JfS7eTuoLqdc	MEG3	0.000335205515521967	2.43	526.46	1280.56	maternally expressed 3 (non-protein coding)
olLt.f65f170k98l7o	PAM	0.000339170824683547	1.91	1198.46	2288.4	peptidylglycine alpha-amidating monooxygenase
KmuIV6TRhCDUceNE6E	KNSTRN	0.000347551592390406	-2.36	222.74	94.45	kinetochore-localized astrin/SPAG5 binding protein
BH7oTTo_3BFNEtXp0o	FANCD2	0.000351838987253083	-2.08	198.18	95.16	Fanconi anemia, complementation group D2
rjki1Tu13jcC_Tr63g	OIP5	0.000359315360357613	-2.05	281.92	137.69	Opa interacting protein 5
ftAQ7SMUT0K35lpJ9Y	NA	0.000360092386451221	-2.09	384.52	184.38	NA
fSkKO5eLkAdLIdd.tE	CENPE	0.000360092386451221	-2.2	177.16	80.45	centromere protein E, 312kDa
cIuKeiukn0SB6IFKUI	FAM3C	0.000360546450730169	2.11	147.05	309.9	family with sequence similarity 3, member C
9tIudLlBUKj39SIbFY	N4BP2L2	0.000366934127240979	2.32	172.71	400.82	NEDD4 binding protein 2-like 2
3g1c7OIoqKSnkn0lEg	TOMM22	0.000377111831903065	-1.97	826.85	419.53	translocase of outer mitochondrial membrane 22 homolog (yeast)
T1.KDnu7e1pFWspePo	AURKA	0.000391745461723299	-3.16	1218.86	385.83	aurora kinase A
o.fSL_0zHn7TeTtx0k	HMMR	0.000391745461723299	-3.04	669.86	220.26	hyaluronan-mediated motility receptor (RHAMM)
oks6Dr0onsLnZSAVIk	STXBP3	0.000391745461723299	-1.9	234.22	123.02	syntaxin binding protein 3
WxJftVdVdBVFM4PsSA	PLK1	0.000399016172073825	-2.29	208.35	90.84	polo-like kinase 1
xlBPS3rO4pubgkIHXo	ADGRG1	0.000405173176217089	2.21	347.51	769.71	adhesion G protein-coupled receptor G1
KlnOCAuvQSdaeilodA	GNG5	0.000418319941115915	-2.19	511.59	233.23	guanine nucleotide binding protein (G protein), gamma 5
rpFefX_fk1RIc.V01w	YWHAZ	0.000422176458640358	-2.01	2799.55	1395.82	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta
QLinorpJ9EgeiBSlC0	FAM3C	0.00042925259133649	1.95	149.65	292.26	family with sequence similarity 3, member C
cp6ipNenv0Vuh_B_U8	BCL2L12	0.000434160195478753	-2.12	258.39	122.15	BCL2-like 12 (proline rich)
EVeQqyLSuItX64tP7E	LYRM1	0.000471672735068689	-1.87	583.64	312.83	LYR motif containing 1
uCCHYnlKgphYYjDZfY	G3BP1	0.000473283288828576	-2.16	198.99	91.92	GTPase activating protein (SH3 domain) binding protein 1
Zn2Iv_F5eCJFI_RN1U	PTTG3P	0.000485255245286941	-2.39	1280.38	536.71	pituitary tumor-transforming 3, pseudogene
HntIF2IkgTiAdInehY	ALCAM	0.000489410226878687	-2.07	1002.09	485.22	activated leukocyte cell adhesion molecule
HpSYoruoTDJeLn6vFM	ARHGAP19	0.000499235733797419	-2.06	170.99	83.04	Rho GTPase activating protein 19
Teq_16d6oiIaJfyxJw	KIF2C	0.000507710529877953	-2.73	298.1	109.17	kinesin family member 2C
uJtXqdzWYrlLJu5KxM	SAPCD2	0.000507710529877953	-2.01	169.24	84.15	suppressor APC domain containing 2
uJEnKJd4T7eu.xut70	PTBP3	0.000509645099420399	-1.88	707.02	376.32	polypyrimidine tract binding protein 3
lpI4BStHqi3n0.XeJ4	SCG2	0.000539732764267672	2.4	147.05	353.16	secretogranin II
fl9KnnaLRe_g6HAKFc	MXD3	0.00056597253986347	-2.15	149.59	69.53	MAX dimerization protein 3
clyu1_J4FkeCB37XR4	CDCA5	0.000566511775996939	-2.45	996.53	406.97	cell division cycle associated 5
W7DzRUiKvaSpAt6CnU	BARD1	0.000614412714005077	-2.1	200.36	95.23	BRCA1 associated RING domain 1
0D_R6gXqAi4eMP.rm4	NA	0.000634670393417801	2.05	163.41	334.51	NA
QXp6BTiCgnSx9US7V4	SMARCD1	0.000643975104158885	-2.03	465.75	229.8	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
3a4X8uUH1XcHoSXfe0	TYRO3	0.000651978101003965	-1.92	143.66	74.86	TYRO3 protein tyrosine kinase
ivnjKjA34p4qausSO4	MRPS18B	0.000665609655508687	-2.15	907.32	422.35	mitochondrial ribosomal protein S18B
Kn7e.HJ5ul_hq6eE3s	ETS2	0.000676070597394024	-2.21	182.29	82.43	v-ets avian erythroblastosis virus E26 oncogene homolog 2
xt.it_o4NIDc1Kc31I	FTH1	0.000689114091018161	2.55	691.4	1765.6	ferritin, heavy polypeptide 1
TSaSaYSX1eIofAJIKA	C19orf43	0.000689114091018161	-1.98	641.27	323.33	chromosome 19 open reading frame 43
oonHKO31JdeS0KLFHs	SKP1	0.000689114091018161	-1.88	864.52	460.42	S-phase kinase-associated protein 1
iEf0jCK7_eo6CBxek4	PARPBP	0.000691179511967233	-2.49	278.88	111.8	PARP1 binding protein
E9l1w1clHOYjh19BF8	NA	0.000691179511967233	-2.03	1446.6	712.54	NA
0eL0eWt7fWJ5ve1_04	PKMYT1	0.000691179511967233	-2.1	267.63	127.66	protein kinase, membrane associated tyrosine/threonine 1
iV9ewhjuHkQiR5Lv.Q	PPP2CA	0.000691179511967233	-1.95	2431.99	1244.45	protein phosphatase 2, catalytic subunit, alpha isozyme
HtHuUfoSpv93g_CoCU	GNB5	0.000691179511967233	-2.16	180.63	83.47	guanine nucleotide binding protein (G protein), beta 5
liegJXpEAHv1juQLuo	CSRP2	0.000691179511967233	-1.95	415.35	213.3	cysteine and glycine-rich protein 2
oINde6XefsSB6gEEfo	COL4A5	0.000715172960074941	2.28	111.69	254.58	collagen, type IV, alpha 5
9STIfB1fCVITe_oXhU	NA	0.000715172960074941	-2.5	3635.23	1455.13	NA
rNOaOOieCVCSsuFuXo	NA	0.000715800582468662	-2.25	948.86	420.99	NA
KS6gKUVyAgtZ6RUygo	KRT81	0.000734736354214818	2.32	121.08	281.48	keratin 81, type II
ooqEhJ31.aJenLcoTQ	POFUT2	0.000734736354214818	2.1	424.76	893.79	protein O-fucosyltransferase 2
lKKIuwl4K3.yCn10.o	BUB1	0.000747774138023189	-2.56	342.84	134.05	BUB1 mitotic checkpoint serine/threonine kinase
ixyjINOupEun3Sinig	KIAA0101	0.000809891715691239	-1.98	142.78	72.15	KIAA0101
o_XKxCSh.qEDd.ue.o	NUFIP2	0.000815953660041849	-1.96	346.36	176.78	nuclear fragile X mental retardation protein interacting protein 2
QVV9TRPkEjvqV9uIPo	MDM2	0.000818974981468696	-2.44	513.3	209.95	MDM2 proto-oncogene, E3 ubiquitin protein ligase
BueFXmP1UDuoB2Hkw8	RNVU1-18	0.000818974981468696	2.02	186.25	376.46	RNA, variant U1 small nuclear 18
ZA.rkjlYl8OfQrsrIU	NA	0.000823732528596259	-2.03	329.05	162.42	NA
6_RziXMhzS9X_po__8	HPRT1	0.000862750042502387	-1.85	1614.75	873.97	hypoxanthine phosphoribosyltransferase 1
fXVd5H_.H7.kSG6l6k	NRBP1	0.000871783061481213	-1.79	147.11	82.05	nuclear receptor binding protein 1
ryI_CnsItSOuiUp7eo	DCTPP1	0.000877828485011048	-1.93	793.17	411.77	dCTP pyrophosphatase 1
Th3rxI_343fo3XSN.o	PBK	0.000922324776203678	-2.87	585.49	203.75	PDZ binding kinase
0pfUBJ1tlXJB1FPqR4	DAG1	0.000934456108569608	-1.96	345.1	176.35	dystroglycan 1 (dystrophin-associated glycoprotein 1)
oVCqStUsCCNSl1FOl8	NA	0.000977546742250615	-2.36	461.83	195.49	NA
9ezChdEkHfVHhtFuE4	CENPO	0.000999300007492094	-1.89	165.94	87.62	centromere protein O
ZrKae7h3LfpVKCYKBA	VASN	0.00100990696236422	1.93	1666.08	3219.37	vasorin
rvRNLp.s5Aznu_hehk	NETO2	0.00100990696236422	-2.44	468.78	192.43	neuropilin (NRP) and tolloid (TLL)-like 2
ip6S3_2_9PeqMCqByk	BTBD3	0.00108153161705422	-1.94	247.3	127.45	BTB (POZ) domain containing 3
6.U5SL_7qamTuRRIuQ	SEC11A	0.00108153161705422	-1.99	1477.56	740.64	SEC11 homolog A, signal peptidase complex subunit
xA4dV3ldlWZ3nFP18Y	DUT	0.00109884562883611	-1.81	107.74	59.65	deoxyuridine triphosphatase
9kp4KA69O4w7qes13I	ING3	0.00109884562883611	-2.18	221.2	101.28	inhibitor of growth family, member 3
3s68ERxQO7fyMle164	NA	0.00110077747151816	-2.11	814.57	386.14	NA
HXfUJXm1JibRJEF5AA	LMNB2	0.0011203664006118	-1.95	1581.91	809.38	lamin B2
uRD1DX.3sXRmTA.nnU	PAPPA	0.0011203664006118	2.45	175.45	429.87	pregnancy-associated plasma protein A, pappalysin 1
EdRTqDUN75LdfQk97Y	PTTG1	0.0011203664006118	-2.17	1812.24	834.39	pituitary tumor-transforming 1
cSU3eS93S5KS99d0p4	TTF2	0.0011490182860824	-2.21	265.67	119.96	transcription termination factor, RNA polymerase II
uOq6EEW0haiFKknfRI	HJURP	0.0011490182860824	-2.34	355.46	151.76	Holliday junction recognition protein
W2d62SfKBJIbkf4mgo	NA	0.0011575582528666	-2.32	1038.83	447.79	NA
Z.1lZlUpX5I2I.m1yI	RPL39L	0.00118280513321296	-1.88	281.35	149.32	ribosomal protein L39-like
H5uE6lHcoStNdVi1ec	FARSA	0.00118323545987248	-1.93	200.33	104.03	phenylalanyl-tRNA synthetase, alpha subunit
3TygusgH8DZVIv5e.U	NA	0.00118450321201384	-2.17	218.28	100.68	NA
HeDqroXpPzelABKJSI	PRPS2	0.00120245451089617	-1.83	292.19	159.37	phosphoribosyl pyrophosphate synthetase 2
3tAR_4f_fw9Tg715dc	ACSL4	0.00124411369635241	1.93	531.4	1024.43	acyl-CoA synthetase long-chain family member 4
uSOJIqHG4_F6IKnRJE	GINS4	0.00128800919306597	-2.04	191.35	93.95	GINS complex subunit 4 (Sld5 homolog)
TN5ZavnuYc91qJbW7Q	LBR	0.00128880973063306	-1.99	163.81	82.42	lamin B receptor
BAZH7.TkomqQsK_JeE	RFC5	0.00129192744503269	-2.01	490.87	244.21	replication factor C (activator 1) 5, 36.5kDa
HVJx_IjhioI0fiVKLw	TNFAIP8L1	0.0013006146916494	-1.96	125.02	63.68	tumor necrosis factor, alpha-induced protein 8-like 1
96iFFSE3hw6d7lEdQg	KIF11	0.00132952266817337	-2.04	374.07	183.32	kinesin family member 11
fprgRN4JRzv16dwp20	NKD2	0.00134420116201856	-1.9	193.1	101.44	naked cuticle homolog 2 (Drosophila)
HXhS1CUgB417FAn4u0	OIP5	0.00135120951510038	-1.92	162.73	84.89	Opa interacting protein 5
Ey6v5_K6wp.noV75KQ	RRM1	0.00138707820741232	-2.06	1951.68	946.6	ribonucleotide reductase M1
TnRCUz6Vjy6x7eHRu4	TMEM97	0.00139654646177813	-2.12	808.42	381.45	transmembrane protein 97
l9dneo5KTn3RbkieR8	UBE2I	0.00139654646177813	-1.87	1908.97	1021.14	ubiquitin-conjugating enzyme E2I
